,appid,player_count,date
304,1245620,17358,2025-09-22 23:51:47
305,1422450,,2025-09-22 23:52:16
306,1281930,13747,2025-09-22 23:52:45
307,1260320,3316,2025-09-22 23:53:14
308,2139460,14155,2025-09-22 23:53:43
309,552990,14591,2025-09-22 23:54:12
310,2358720,3639,2025-09-22 23:54:41
311,1222670,23962,2025-09-22 23:55:10
312,1517290,13936,2025-09-22 23:55:39
313,1142710,20657,2025-09-22 23:56:08
314,2584990,6488,2025-09-22 23:56:38
315,892970,27407,2025-09-22 23:57:07
316,3527290,19727,2025-09-22 23:57:36
317,105600,14246,2025-09-22 23:58:05
318,346110,12580,2025-09-22 23:58:34
319,1905180,10825,2025-09-22 23:59:03
320,1771300,16200,2025-09-22 23:59:32
321,108600,20229,2025-09-23 00:00:02
322,550,17792,2025-09-23 00:00:31
323,3241660,15256,2025-09-23 00:01:00
324,2300320,17067,2025-09-23 00:01:29
325,250900,15750,2025-09-23 00:01:58
326,1449850,9552,2025-09-23 00:02:27
327,322170,19550,2025-09-23 00:02:56
328,3472040,11560,2025-09-23 00:03:25
329,284160,16709,2025-09-23 00:03:54
330,2429640,19405,2025-09-23 00:04:23
331,1426210,3012,2025-09-23 00:04:52
332,582660,18083,2025-09-23 00:05:21
333,1158310,16853,2025-09-23 00:05:51
334,2246340,5459,2025-09-23 00:06:20
335,766570,4672,2025-09-23 00:06:49
336,513710,10750,2025-09-23 00:07:18
337,1325860,6206,2025-09-23 00:07:47
338,2878980,3895,2025-09-23 00:08:16
339,3037410,16968,2025-09-23 00:08:45
340,813780,13985,2025-09-23 00:09:14
341,489830,19050,2025-09-23 00:09:43
342,2399830,14768,2025-09-23 00:10:12
343,526870,17556,2025-09-23 00:10:42
344,4000,16350,2025-09-23 00:11:11
345,646570,7872,2025-09-23 00:11:40
346,292030,9297,2025-09-23 00:12:09
347,3405340,23044,2025-09-23 00:12:38
348,1623660,14541,2025-09-23 00:13:07
349,281990,17344,2025-09-23 00:13:36
350,1049590,1808,2025-09-23 00:14:05
351,1145360,9066,2025-09-23 00:14:34
352,1085660,20582,2025-09-23 00:15:03
353,629520,12648,2025-09-23 00:15:32
354,2183900,12721,2025-09-23 00:16:02
355,582010,3631,2025-09-23 00:16:31
356,427520,15679,2025-09-23 00:17:00
357,3224770,16155,2025-09-23 00:17:29
